rep,estimand,backend,est,se,mu_rmse,alpha_rmse,alpha_mae,fit_seconds,truth
2,ATE,sklearn_tree,3.66632669934764,0.18502706471967556,1.7575727222513922,0.8666767475261083,0.5671561536947236,14.454849004745483,2.999573122975341
2,ATE,sklearn_ridge,3.4799011538629965,0.18529610552606995,1.7575727222513922,0.8142739254918029,0.571766254560028,1.9057059288024902,2.999573122975341
2,ATT,xgboost,3.703586962700452,0.1947484801670124,1.7575727222513922,0.6748491150289259,0.3546837855495295,3.9904491901397705,3.204527475072491
2,ATT,sklearn_tree,3.640358629535807,0.21685800456909993,1.7575727222513922,0.7044402048309131,0.4142009028291722,7.558253765106201,3.204527475072491
2,ATT,sklearn_ridge,3.4879788635805204,0.2157875227141007,1.7575727222513922,0.6954718392889311,0.4685604660088452,1.052626132965088,3.204527475072491
3,ATE,xgboost,3.375764937742686,0.17749966496004635,1.658433750256917,1.0962377540490962,0.6110119036540465,8.589441061019897,2.999573122975341
3,ATE,sklearn_tree,3.3826598107761665,0.18159653223635056,1.658433750256917,1.105174874142661,0.6270632209683535,13.27964186668396,2.999573122975341
3,ATE,sklearn_ridge,3.353484491537434,0.17941879179653747,1.658433750256917,1.053660352111357,0.6436934431403672,1.8030540943145752,2.999573122975341
3,ATT,xgboost,3.371965885915192,0.18163144776553683,1.658433750256917,0.9795965241216885,0.3891336974052109,4.1097328662872314,3.204527475072491
3,ATT,sklearn_tree,3.323331817457516,0.17160594849355698,1.658433750256917,0.9771018197196529,0.38598816920048934,7.523726224899292,3.204527475072491
3,ATT,sklearn_ridge,3.3509221393720314,0.1918393917442007,1.658433750256917,0.9603714432704351,0.4674912218864564,0.9849629402160645,3.204527475072491
4,ATE,xgboost,3.649828455489605,0.19206215571049615,1.6159435451410744,0.9568813563441174,0.6045398860362096,9.403080940246582,2.999573122975341
4,ATE,sklearn_tree,3.6412632472284283,0.19288069962956347,1.6159435451410744,0.9552931737397394,0.6073870887618741,14.756049871444702,2.999573122975341
4,ATE,sklearn_ridge,3.5819015550526596,0.18456285402508388,1.6159435451410744,0.9859835667203456,0.6519986629388049,1.7923190593719482,2.999573122975341
4,ATT,xgboost,3.8954527241279635,0.25337773465720903,1.6159435451410744,0.8604925133951352,0.4168529732232113,21.057689666748047,3.204527475072491
4,ATT,sklearn_tree,3.750640196598399,0.2046419517362846,1.6159435451410744,0.7246883237461046,0.3788643777327194,13.95078706741333,3.204527475072491
4,ATT,sklearn_ridge,3.643253087421572,0.19699458677343798,1.6159435451410744,0.7749739652954308,0.48244473131878324,1.540355920791626,3.204527475072491
5,ATE,xgboost,3.5797227534597287,0.1988248324608067,1.6842977042822966,1.5240030463139027,0.7367699766665923,10.131707191467285,2.999573122975341
5,ATE,sklearn_tree,3.5895856310235734,0.1991620642083984,1.6842977042822966,1.5277737422723514,0.737280040759417,17.403199911117554,2.999573122975341
5,ATE,sklearn_ridge,3.4043001496926983,0.1861022720703804,1.6842977042822966,1.4192876763103557,0.701177079395093,1.7940940856933594,2.999573122975341
5,ATT,xgboost,3.882185510468945,0.8573874775439438,1.6842977042822966,9.770588842075902,1.2549887405383502,8.200854063034058,3.204527475072491
5,ATT,sklearn_tree,3.5528542620511336,0.19461204919810307,1.6842977042822966,1.295167526977865,0.41044576705849384,11.645192384719849,3.204527475072491
5,ATT,sklearn_ridge,3.4105980600145434,0.19582597410013686,1.6842977042822966,1.302489615347952,0.5039082552473629,0.9029130935668945,3.204527475072491
6,ATE,xgboost,3.434252380576059,0.21299604853389098,1.6999649491276163,1.196566900085765,0.7010552637223664,10.495426893234253,2.999573122975341
6,ATE,sklearn_tree,3.4372326792164376,0.24138368171907076,1.6999649491276163,1.4122611183737983,0.7949144812253571,18.12317991256714,2.999573122975341
6,ATE,sklearn_ridge,3.1833757445761477,0.18567693200147178,1.6999649491276163,0.990622234116322,0.6105802161707589,1.7965641021728516,2.999573122975341
6,ATT,xgboost,3.37148402763594,0.19109208558032437,1.6999649491276163,0.766108809297968,0.35856257205444486,6.512156963348389,3.204527475072491
